Keypoint_0,Keypoint_1,Keypoint_2,Keypoint_3,Keypoint_4,Keypoint_5,Keypoint_6,Keypoint_7,Keypoint_8,Keypoint_9,Keypoint_10,Keypoint_11,Keypoint_12,Keypoint_13,Keypoint_14,Keypoint_15,Keypoint_16,Keypoint_17,Keypoint_18,Keypoint_19,Keypoint_20
"[0.4551776945590973, 0.7038819789886475]","[0.5611699819564819, 0.6554341316223145]","[0.6203609704971313, 0.5500575304031372]","[0.6080962419509888, 0.4410537779331207]","[0.590907871723175, 0.37589412927627563]","[0.6198632717132568, 0.4865424931049347]","[0.6412554979324341, 0.39179694652557373]","[0.6117741465568542, 0.45559826493263245]","[0.5927127599716187, 0.49969810247421265]","[0.541363000869751, 0.47699329257011414]","[0.5456096529960632, 0.40772315859794617]","[0.5259913802146912, 0.5031720995903015]","[0.5383837819099426, 0.517505407333374]","[0.47212713956832886, 0.48225900530815125]","[0.47251176834106445, 0.4276584982872009]","[0.46833932399749756, 0.5252413153648376]","[0.48483479022979736, 0.5330522656440735]","[0.4055202603340149, 0.493167906999588]","[0.4124481678009033, 0.4677913188934326]","[0.4177244305610657, 0.5335974097251892]","[0.42811283469200134, 0.5466498732566833]"
"[0.5620384216308594, 0.733863890171051]","[0.4802553057670593, 0.6768110990524292]","[0.4333993196487427, 0.5655012130737305]","[0.43920236825942993, 0.46046867966651917]","[0.4791262745857239, 0.400260329246521]","[0.46084487438201904, 0.4798666536808014]","[0.47461944818496704, 0.392212450504303]","[0.507184624671936, 0.47138363122940063]","[0.5233243107795715, 0.5155549645423889]","[0.5217669606208801, 0.48538634181022644]","[0.5570479035377502, 0.42360812425613403]","[0.5653344988822937, 0.5239731669425964]","[0.548265814781189, 0.5410225987434387]","[0.5758917331695557, 0.49865734577178955]","[0.6064140796661377, 0.45010554790496826]","[0.5986995100975037, 0.5386366844177246]","[0.5759485363960266, 0.5567749738693237]","[0.6198487281799316, 0.5187858939170837]","[0.6460809707641602, 0.47984400391578674]","[0.6371050477027893, 0.5364955067634583]","[0.6163500547409058, 0.557590901851654]"
"[0.43781399726867676, 0.7448357939720154]","[0.5672324895858765, 0.6792068481445312]","[0.611639142036438, 0.5603038668632507]","[0.5950847268104553, 0.4535422921180725]","[0.589676022529602, 0.3759411573410034]","[0.5990656614303589, 0.4927675724029541]","[0.6434983015060425, 0.4083518981933594]","[0.6353241801261902, 0.4787193536758423]","[0.6102358102798462, 0.5221338272094727]","[0.5176681876182556, 0.48161429166793823]","[0.5677659511566162, 0.42466074228286743]","[0.5444654226303101, 0.5346769094467163]","[0.5235318541526794, 0.5498255491256714]","[0.44466620683670044, 0.49035799503326416]","[0.49446919560432434, 0.4411240518093109]","[0.48391565680503845, 0.5537616014480591]","[0.4629468321800232, 0.5503128170967102]","[0.36945658922195435, 0.4999195635318756]","[0.43020516633987427, 0.47147414088249207]","[0.43163204193115234, 0.5462156534194946]","[0.4122759699821472, 0.5504763722419739]"
"[0.567971408367157, 0.7328060865402222]","[0.46569493412971497, 0.6631333827972412]","[0.4068618416786194, 0.5506518483161926]","[0.4045966863632202, 0.45313361287117004]","[0.42276662588119507, 0.38659247756004333]","[0.42444151639938354, 0.47706177830696106]","[0.37748420238494873, 0.39911606907844543]","[0.399471253156662, 0.4706258773803711]","[0.42398643493652344, 0.5083295702934265]","[0.4901648759841919, 0.4749157428741455]","[0.46367257833480835, 0.4201066493988037]","[0.4746633768081665, 0.5212267637252808]","[0.48818469047546387, 0.5293480753898621]","[0.5577762722969055, 0.48332473635673523]","[0.5342147946357727, 0.43192577362060547]","[0.5316566824913025, 0.5359867811203003]","[0.5462002158164978, 0.5485963225364685]","[0.6234481334686279, 0.5025116205215454]","[0.5992767810821533, 0.4574725329875946]","[0.588253378868103, 0.5312080383300781]","[0.5984964966773987, 0.5507498383522034]"
"[0.4360305070877075, 0.6803169250488281]","[0.5181154608726501, 0.6419436931610107]","[0.5695604681968689, 0.5447696447372437]","[0.5550894737243652, 0.4508437514305115]","[0.5467187166213989, 0.3911724090576172]","[0.5682841539382935, 0.4917779564857483]","[0.5882998108863831, 0.42096054553985596]","[0.5647276043891907, 0.48131483793258667]","[0.5465636849403381, 0.5179868340492249]","[0.500220775604248, 0.486530065536499]","[0.5070000290870667, 0.4338653087615967]","[0.4914039671421051, 0.5189626812934875]","[0.4983194172382355, 0.5306251645088196]","[0.4395202696323395, 0.4946344494819641]","[0.4461999535560608, 0.44992345571517944]","[0.4426767826080322, 0.5329703688621521]","[0.4514394998550415, 0.539558470249176]","[0.38088303804397583, 0.5066747665405273]","[0.3922877907752991, 0.47892752289772034]","[0.39698344469070435, 0.5354769825935364]","[0.4031846821308136, 0.5454251170158386]"
"[0.4825626313686371, 0.6865431070327759]","[0.5692344307899475, 0.6425739526748657]","[0.6194103360176086, 0.5506118535995483]","[0.5971789956092834, 0.45570239424705505]","[0.5793049931526184, 0.39710038900375366]","[0.6111024618148804, 0.48550769686698914]","[0.6407362818717957, 0.4133514165878296]","[0.6268168687820435, 0.4681980311870575]","[0.6021990776062012, 0.5118324756622314]","[0.545887291431427, 0.481620192527771]","[0.5719079375267029, 0.42416268587112427]","[0.5556469559669495, 0.5125897526741028]","[0.5508558750152588, 0.5346635580062866]","[0.48775753378868103, 0.4882483184337616]","[0.5106182098388672, 0.44438636302948]","[0.5059579014778137, 0.5313697457313538]","[0.5032578706741333, 0.5438319444656372]","[0.42872267961502075, 0.4981175363063812]","[0.45985478162765503, 0.46986913681030273]","[0.4636215269565582, 0.5306860208511353]","[0.4582773447036743, 0.543887734413147]"
"[0.5512404441833496, 0.7313252687454224]","[0.4395173192024231, 0.637799084186554]","[0.3904796838760376, 0.5374491214752197]","[0.3913516402244568, 0.4505177140235901]","[0.4000561535358429, 0.38218578696250916]","[0.42521530389785767, 0.47925662994384766]","[0.36941689252853394, 0.4041207432746887]","[0.3779348134994507, 0.4702815115451813]","[0.39637506008148193, 0.5113988518714905]","[0.48701998591423035, 0.48235616087913513]","[0.443842351436615, 0.42006516456604004]","[0.4501008093357086, 0.5214659571647644]","[0.47274157404899597, 0.5394262075424194]","[0.5514791011810303, 0.48840242624282837]","[0.5058059692382812, 0.43770986795425415]","[0.4993387460708618, 0.539499044418335]","[0.5256500244140625, 0.5540830492973328]","[0.6127544045448303, 0.4983339309692383]","[0.5656042098999023, 0.4559486508369446]","[0.5521538853645325, 0.5242157578468323]","[0.5719020366668701, 0.5466589331626892]"
"[0.5493606328964233, 0.7433478832244873]","[0.44085076451301575, 0.6662781834602356]","[0.3824591338634491, 0.5485116839408875]","[0.3832739591598511, 0.4480188488960266]","[0.3994966149330139, 0.380886971950531]","[0.4010416269302368, 0.4764057397842407]","[0.3565463423728943, 0.39160916209220886]","[0.3851788640022278, 0.47025066614151]","[0.41242560744285583, 0.5105956196784973]","[0.47222959995269775, 0.4780726432800293]","[0.4545142650604248, 0.4138607978820801]","[0.4662240147590637, 0.5192410349845886]","[0.47397568821907043, 0.5284525156021118]","[0.5430219173431396, 0.48895037174224854]","[0.5289092063903809, 0.4292451739311218]","[0.5234028100967407, 0.5398904085159302]","[0.533078134059906, 0.5543872117996216]","[0.6127844452857971, 0.508998453617096]","[0.5968546271324158, 0.4611278474330902]","[0.5813403725624084, 0.5397064685821533]","[0.5845581293106079, 0.5620242357254028]"
"[0.5620402097702026, 0.765480101108551]","[0.4523145258426666, 0.689996063709259]","[0.3860689401626587, 0.576906144618988]","[0.36953431367874146, 0.4686836898326874]","[0.36630672216415405, 0.39177554845809937]","[0.3967653512954712, 0.48400163650512695]","[0.3562607765197754, 0.40234026312828064]","[0.38455474376678467, 0.47850582003593445]","[0.4083484709262848, 0.5153542757034302]","[0.47465628385543823, 0.4856422245502472]","[0.45826780796051025, 0.42395853996276855]","[0.46988826990127563, 0.5368147492408752]","[0.474913626909256, 0.5344178676605225]","[0.5535290241241455, 0.49570655822753906]","[0.5405973792076111, 0.44569453597068787]","[0.5341104865074158, 0.5568276047706604]","[0.5378865599632263, 0.5565717816352844]","[0.6251012682914734, 0.5124305486679077]","[0.6137384176254272, 0.47958049178123474]","[0.5999069809913635, 0.5558571815490723]","[0.6005703210830688, 0.5672803521156311]"
"[0.5206024050712585, 0.7187843322753906]","[0.4211953282356262, 0.654268741607666]","[0.3742753863334656, 0.5540022850036621]","[0.37392646074295044, 0.46525004506111145]","[0.3865870535373688, 0.39448222517967224]","[0.42575886845588684, 0.47265326976776123]","[0.36597567796707153, 0.4103842079639435]","[0.36927396059036255, 0.4800114035606384]","[0.383592426776886, 0.5208319425582886]","[0.4746702015399933, 0.4719652831554413]","[0.41108202934265137, 0.4315636157989502]","[0.42008092999458313, 0.5270116925239563]","[0.4505435526371002, 0.5429546236991882]","[0.5260453224182129, 0.4788822531700134]","[0.4627360701560974, 0.44838133454322815]","[0.4631882607936859, 0.5417208671569824]","[0.49688413739204407, 0.5551660060882568]","[0.5776312351226807, 0.49315956234931946]","[0.5141935348510742, 0.46828383207321167]","[0.5063331723213196, 0.5314995050430298]","[0.5354112386703491, 0.5439794063568115]"
